hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85c30527fffffff,-42.645,-63.855,1.0,0,0.05167545,-16.0,13.15,335.8,7.04,72.88,35.87,97.741,pastizal
85c30537fffffff,-42.735,-63.973,3.0,0,0.13448988,74.0,13.15,335.8,7.04,72.88,31.176,87.434,pastizal
85c305b3fffffff,-43.009,-64.33,1.0,0,0.028701682,0.0,13.38,266.45,6.71,67.69,48.817,65.17,agua
85c30803fffffff,-40.931,-62.58,24.0,0,0.10793067,20.0,14.21,452.6,6.47,69.87,36.321,34.181,pastizal
85c30807fffffff,-40.796,-62.629,9.0,0,0.12460083,17.0,14.21,452.6,6.47,69.87,28.667,22.28,pastizal
85c3080ffffffff,-40.843,-62.471,14.0,0,0.14061517,11.0,14.21,452.6,6.47,69.87,42.394,36.616,pastizal
85c30813fffffff,-41.019,-62.689,73.0,0,0.059658937,0.0,14.21,452.6,6.47,69.87,34.367,35.027,agua
85c30817fffffff,-40.884,-62.738,24.0,0,0.191363,27.0,14.21,452.6,6.47,69.87,22.015,20.992,pastizal
85c30823fffffff,-40.572,-62.569,14.0,0,0.06786934,4.0,14.54,427.05,5.72,65.33,41.544,21.439,pastizal
85c30827fffffff,-40.437,-62.618,12.0,0,0.32374346,22.0,14.54,427.05,5.72,65.33,49.185,14.298,pastizal
85c3082bfffffff,-40.619,-62.412,24.0,0,0.035758898,12.0,14.54,427.05,5.72,65.33,50.71,35.564,suelo_desnudo
85c3082ffffffff,-40.485,-62.461,8.0,0,0.15896378,14.0,14.54,427.05,5.72,65.33,54.724,28.454,pastizal
85c30833fffffff,-40.66,-62.678,20.0,0,0.11357964,20.0,14.54,427.05,5.72,65.33,28.502,14.626,pastizal
85c30837fffffff,-40.525,-62.726,29.0,0,0.16133249,13.0,14.54,427.05,5.72,65.33,35.917,7.615,pastizal
85c3083bfffffff,-40.707,-62.52,20.0,0,0.1746082,19.0,14.54,427.05,5.72,65.33,38.966,28.786,pastizal
85c30863fffffff,-40.801,-62.205,1.0,0,0.06827188,0.0,14.21,452.6,6.47,69.87,64.453,57.007,agua
85c30867fffffff,-40.666,-62.255,26.0,0,0.15894322,9.0,14.21,452.6,6.47,69.87,61.84,49.694,pastizal
85c30873fffffff,-40.889,-62.313,36.0,0,0.02306997,0.0,14.21,452.6,6.47,69.87,56.396,50.925,agua
85c30877fffffff,-40.754,-62.363,11.0,0,0.15089475,8.0,14.21,452.6,6.47,69.87,51.314,42.911,pastizal
85c30883fffffff,-41.061,-62.958,3.0,0,0.36784002,33.0,14.32,383.25,5.66,62.09,27.579,27.664,pastizal
85c30887fffffff,-40.924,-63.007,330.0,1,0.717876,2.0,14.32,383.25,5.66,62.09,12.342,12.038,pastizal
85c3088bfffffff,-41.108,-62.799,2.0,0,0.09641993,0.0,14.32,383.25,5.66,62.09,36.581,37.548,agua
85c3088ffffffff,-40.972,-62.848,82.0,0,0.5783515,5.0,14.32,383.25,5.66,62.09,21.445,22.737,pastizal
85c30893fffffff,-41.149,-63.069,18.0,0,0.102337226,0.0,14.32,383.25,5.66,62.09,37.686,36.924,agua
85c30897fffffff,-41.013,-63.117,133.0,0,0.46224827,48.0,14.32,383.25,5.66,62.09,24.055,22.178,pastizal
85c308a3fffffff,-40.7,-62.945,46.0,0,0.7719108,27.0,14.78,383.25,5.22,58.48,10.234,5.809,pastizal
85c308a7fffffff,-40.565,-62.993,22.0,0,0.33943996,36.0,14.78,383.25,5.22,58.48,25.232,13.809,cultivo
85c308abfffffff,-40.748,-62.787,19.0,0,0.42667013,25.0,14.78,383.25,5.22,58.48,16.026,7.923,pastizal
85c308affffffff,-40.613,-62.835,19.0,0,0.43541303,35.0,14.78,383.25,5.22,58.48,22.752,0.426,pastizal
85c308b3fffffff,-40.788,-63.055,177.0,1,0.52763516,4.0,14.78,383.25,5.22,58.48,4.971,3.184,pastizal
85c308b7fffffff,-40.652,-63.103,210.0,1,0.28194594,37.0,14.78,383.25,5.22,58.48,17.624,15.957,pastizal
85c308bbfffffff,-40.836,-62.896,83.0,0,0.65158314,31.0,14.78,383.25,5.22,58.48,7.881,8.554,pastizal
85c30903fffffff,-39.984,-62.919,223.0,1,0.45750433,27.0,15.07,419.75,5.1,57.99,26.971,21.739,matorral
85c30907fffffff,-39.849,-62.967,99.0,0,0.4435544,27.0,15.07,419.75,5.1,57.99,31.02,25.95,matorral
