hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85c30527fffffff,-42.645,-63.855,1.0,328.89,328.89,0.34,0.34,276.04,0.0,0.0,0.0,1.0,3.0,-16.0,13.15,335.8,7.04,72.88,pastizal,35.87,97.741
85c30537fffffff,-42.735,-63.973,3.0,353.68,367.0,6.947,7.59,301.733,0.0,1.0,0.333,1.0,1.0,74.0,13.15,335.8,7.04,72.88,pastizal,31.176,87.434
85c305b3fffffff,-43.009,-64.33,1.0,352.5,352.5,9.91,9.91,301.19,0.0,1.0,0.0,1.0,1.0,0.0,13.38,266.45,6.71,67.69,agua,48.817,65.17
85c30803fffffff,-40.931,-62.58,24.0,347.232,367.0,16.812,44.9,309.072,0.0,0.708,0.125,5.0,12.0,20.0,14.21,452.6,6.47,69.87,pastizal,36.321,34.181
85c30807fffffff,-40.796,-62.629,9.0,344.099,367.0,13.721,42.59,294.364,0.0,0.444,0.333,4.0,12.0,17.0,14.21,452.6,6.47,69.87,pastizal,28.667,22.28
85c3080ffffffff,-40.843,-62.471,14.0,336.795,347.9,5.463,10.79,291.297,0.0,0.143,0.0,6.0,8.0,11.0,14.21,452.6,6.47,69.87,pastizal,42.394,36.616
85c30813fffffff,-41.019,-62.689,73.0,340.822,367.0,18.708,127.26,303.508,0.425,0.973,0.123,3.0,2.0,0.0,14.21,452.6,6.47,69.87,agua,34.367,35.027
85c30817fffffff,-40.884,-62.738,24.0,338.874,367.0,18.531,83.5,292.388,0.083,0.167,0.125,6.0,6.0,27.0,14.21,452.6,6.47,69.87,pastizal,22.015,20.992
85c30823fffffff,-40.572,-62.569,14.0,342.599,356.54,16.271,39.01,302.16,0.0,0.357,0.0,5.0,12.0,4.0,14.54,427.05,5.72,65.33,pastizal,41.544,21.439
85c30827fffffff,-40.437,-62.618,12.0,347.398,367.0,7.15,9.44,299.477,0.0,0.667,0.25,4.0,2.0,22.0,14.54,427.05,5.72,65.33,pastizal,49.185,14.298
85c3082bfffffff,-40.619,-62.412,24.0,343.91,367.0,16.765,125.21,299.111,0.042,0.333,0.167,8.0,12.0,12.0,14.54,427.05,5.72,65.33,suelo_desnudo,50.71,35.564
85c3082ffffffff,-40.485,-62.461,8.0,337.258,349.55,3.384,6.05,293.333,0.125,0.375,0.0,3.0,2.0,14.0,14.54,427.05,5.72,65.33,pastizal,54.724,28.454
85c30833fffffff,-40.66,-62.678,20.0,354.923,367.0,27.074,59.51,322.283,0.0,0.85,0.25,4.0,12.0,20.0,14.54,427.05,5.72,65.33,pastizal,28.502,14.626
85c30837fffffff,-40.525,-62.726,29.0,333.828,367.0,10.165,59.51,296.681,0.31,0.517,0.034,6.0,12.0,13.0,14.54,427.05,5.72,65.33,pastizal,35.917,7.615
85c3083bfffffff,-40.707,-62.52,20.0,343.128,354.7,15.135,73.04,306.995,0.0,0.7,0.0,5.0,12.0,19.0,14.54,427.05,5.72,65.33,pastizal,38.966,28.786
85c30863fffffff,-40.801,-62.205,1.0,336.5,336.5,3.13,3.13,305.75,0.0,1.0,0.0,1.0,1.0,0.0,14.21,452.6,6.47,69.87,agua,64.453,57.007
85c30867fffffff,-40.666,-62.255,26.0,337.955,367.0,8.608,35.11,295.922,0.077,0.077,0.038,6.0,11.0,9.0,14.21,452.6,6.47,69.87,pastizal,61.84,49.694
85c30873fffffff,-40.889,-62.313,36.0,341.182,367.0,10.714,26.14,289.976,0.111,0.0,0.028,4.0,9.0,0.0,14.21,452.6,6.47,69.87,agua,56.396,50.925
85c30877fffffff,-40.754,-62.363,11.0,333.74,353.08,5.512,20.22,289.523,0.091,0.091,0.0,4.0,10.0,8.0,14.21,452.6,6.47,69.87,pastizal,51.314,42.911
